BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
657.398963425,1000.0,TestOperatingCost,100.204885327,53.6754786273,28.4885454695,68.5551656091,1000.0,341cfb58-0f34-401e-b345-b8d6f1549b8b,2.0,2.0,1020.0,1020.0,4301.18300336,518.248265904,550.0,50.0,27362.7042245,1.37384677451,689.780348947,2000.0,1889.78034895,1.0,1000.0,250.0
512.435879859,1000.0,TestOperatingCost,675.132204152,38.8098057845,2168.68759316,2942.1984391,1000.0,a6711ba3-47a7-4520-99c0-0ab042d88ff6,2.0,2.0,1020.0,1020.0,3597.23640643,916.267350213,550.0,50.0,126903.170734,8.84000250802,3449.87389318,2000.0,4649.87389318,1.0,1000.0,250.0
498.446849226,1000.0,TestOperatingCost,421.091991282,66.9020567711,153.06792812,294.128764412,1000.0,d2654621-b138-4a98-bb5e-d53104620040,2.0,2.0,1020.0,1020.0,7820.962072,959.885114345,550.0,50.0,25915.8478163,9.99758444399,567.369971374,2000.0,1767.36997137,0.0,1000.0,250.0
30.344936681,1000.0,TestOperatingCost,131.164142801,53.9381009203,110.457025352,175.877081613,1000.0,22a644c7-7416-4971-b6d7-4ce5873ff83e,2.0,2.0,1020.0,1020.0,174.154071086,628.199908927,550.0,50.0,110655.457507,4.28104371407,2231.52676159,2000.0,3431.52676159,1.0,1000.0,250.0
315.19256941,1000.0,TestOperatingCost,344.349538916,74.8724314372,138.535461883,162.470095452,1000.0,aad239bb-c452-49f1-aaf9-a72053679171,2.0,2.0,1020.0,1020.0,5539.84795028,453.096229317,550.0,50.0,133469.975868,3.37530904137,1962.6317819,2000.0,3162.6317819,0.0,1000.0,250.0
617.307645887,1000.0,TestOperatingCost,273.920573025,60.3631938621,432.290749338,625.182275937,1000.0,f1c9d512-10df-40a0-96fe-4af83bae0f1c,2.0,2.0,1020.0,1020.0,2305.74945511,839.081264222,550.0,50.0,117311.155368,6.42642675167,2123.42194079,2000.0,3323.42194079,1.0,1000.0,250.0
306.806621543,1000.0,TestOperatingCost,252.656629274,79.4068646963,152.145161388,170.939337686,1000.0,7016e312-b2ad-4e08-936b-c8fc63663716,2.0,2.0,1020.0,1020.0,8559.08276341,538.328113358,550.0,50.0,129046.128013,2.0157505318,1805.12559218,2000.0,3005.12559218,0.0,1000.0,250.0
392.476185937,1000.0,TestOperatingCost,702.798602323,42.532694144,1644.45670514,2080.29681917,1000.0,ab53abeb-9f5a-4a2e-b8bd-01e554e2c9ac,2.0,2.0,1020.0,1020.0,1723.40781298,548.215416897,550.0,50.0,184219.469318,9.83618072536,4511.24383548,2000.0,5711.24383548,1.0,1000.0,250.0
923.856043458,1000.0,TestOperatingCost,199.774517336,74.6405152013,51.1087149549,74.6055032017,1000.0,ccc1c89b-065a-4c93-966f-af667fc66ece,2.0,2.0,1020.0,1020.0,7561.0931053,882.703074764,550.0,50.0,37797.8940036,3.15745769302,686.399157371,2000.0,1886.39915737,0.0,1000.0,250.0
153.719653192,1000.0,TestOperatingCost,250.815025944,77.9899234856,92.0936870609,148.983589031,1000.0,8b80a4d5-4619-4f5c-acac-ea9f0ab496bb,2.0,2.0,1020.0,1020.0,3235.45895081,578.617457875,550.0,50.0,44924.4104014,6.11156019158,756.028394357,2000.0,1956.02839436,0.0,1000.0,250.0
