"alum_rho","alum_stress","BatteryMass","bid_bearing","bid_minThk","bid_rho","bid_shear","bid_stress","canard_mass","canopy_rho","canopy_thk","CfgID","ConstraintsTest","core_minThk","core_rho","CostPerFlight","CruiseSpeed","ENominal","EReserve","fc","fuselage_mass","fuselageHeight","fuselageLength","glue_rho","glue_thk","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","paint_rho","paint_thk","PartsPerTool","payload_mass","prop_mass","Range","rib_thk","rib_width","RotorRadius","steel_shear","tNominal","tReserve","uni_rho","uni_stress","Vehicle","winglet"
2800,3.5e+08,671.220051734,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,668.105856919,71.055560265,166.344262896,240.632473682,0.4,500,1.65,5,1800,0.000254,"6f2fbad6-e695-48db-81a4-c891b8f144a2",2,2,1020,1020,9560.92718426,682.064018932,1800,0.00015,1000,550,50,111634.937557,0.0015,0.0254,6.98898555167,5e+08,1751.09362224,1010.70861674,1660,4.5e+08,0,0.2
2800,3.5e+08,424.894498765,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,184.579685641,67.1057077665,109.985162315,151.02628825,0.4,500,1.65,5,1800,0.000254,"05ae6bdd-cfa2-4a42-9fa9-0ebc2e85a8d6",2,2,1020,1020,806.143428279,369.094605734,1800,0.00015,1000,550,50,153637.418181,0.0015,0.0254,6.21346258055,5e+08,2469.48361168,135.681434532,1660,4.5e+08,1,0.2
2800,3.5e+08,740.185779642,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,118.030309855,58.9532876323,25.94805579,44.901035687,0.4,500,1.65,5,1800,0.000254,"cc4b6476-e007-4246-9acd-71a44b52dccd",2,2,1020,1020,8553.525908,518.316345002,1800,0.00015,1000,550,50,28538.6717875,0.0015,0.0254,1.5146040483,5e+08,664.089572163,41.8968797124,1660,4.5e+08,0,0.2
2800,3.5e+08,331.738135085,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,253.536598999,39.3047710779,43.7558791969,54.9238118831,0.4,500,1.65,5,1800,0.000254,"c8214c88-186f-4f3d-8c65-bb4c28ce9912",2,2,1020,1020,3336.43699039,420.9415334,1800,0.00015,1000,550,50,155692.50441,0.0015,0.0254,1.21112848889,5e+08,4141.16044287,18.1286552882,1660,4.5e+08,0,0.2
2800,3.5e+08,639.851182791,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,329.98566928,72.6453979655,308.21172515,392.414637304,0.4,500,1.65,5,1800,0.000254,"ba35f7da-413e-405e-824f-aa4c3193c2fb",2,2,1020,1020,2166.03991152,234.687679778,1800,0.00015,1000,550,50,186902.526183,0.0015,0.0254,9.42172919175,5e+08,2752.8061435,677.157479336,1660,4.5e+08,1,0.2
2800,3.5e+08,650.561689236,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,264.900329544,44.7274552021,93.0251013201,117.931999601,0.4,500,1.65,5,1800,0.000254,"472e77a3-ca51-4803-93f9-1b307db37c85",2,2,1020,1020,6324.58615139,503.559964885,1800,0.00015,1000,550,50,164142.116241,0.0015,0.0254,0.573030535586,5e+08,3849.82909042,25.3037500023,1660,4.5e+08,0,0.2
2800,3.5e+08,14.2645636816,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,508.067803648,32.6456949931,81.0698772384,162.821002394,0.4,500,1.65,5,1800,0.000254,"079410b7-265a-49d2-bfc1-d3796f933635",2,2,1020,1020,973.906961565,353.730145208,1800,0.00015,1000,550,50,38404.3764614,0.0015,0.0254,7.52156104641,5e+08,1356.39941406,1204.38720375,1660,4.5e+08,0,0.2
2800,3.5e+08,85.0760708203,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,145.460963533,61.3649144851,195.311903183,251.324896132,0.4,500,1.65,5,1800,0.000254,"bf0a9eaf-38a7-4e37-acbc-c122f2288b84",2,2,1020,1020,9797.98906691,365.61954879,1800,0.00015,1000,550,50,167760.960097,0.0015,0.0254,2.18094711496,5e+08,2913.82537082,11959.46437,1660,4.5e+08,1,0.2
2800,3.5e+08,421.778782042,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,277.079980274,46.984801756,214.923795918,310.2342254,0.4,500,1.65,5,1800,0.000254,"52bc7704-df0e-40af-83ea-0051a4d248ad",2,2,1020,1020,8929.27550762,579.773037752,1800,0.00015,1000,550,50,116463.204381,0.0015,0.0254,7.8662577523,5e+08,2658.74206186,15335.193325,1660,4.5e+08,1,0.2
2800,3.5e+08,958.924176194,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,245.717098769,42.6018798511,25.0658901058,40.1511928424,0.4,500,1.65,5,1800,0.000254,"77539fbd-03bb-4607-8833-cadd1152d506",2,2,1020,1020,2301.35448228,978.906321175,1800,0.00015,1000,550,50,61315.3808513,0.0015,0.0254,2.40664110005,5e+08,1619.26467718,53.5598493209,1660,4.5e+08,0,0.2
